"","C14ID","Period","C14Age","C14SD","LabCode","PhaseCode","SiteID","Material","MaterialSpecies","Latitude","Longitude","optional"
"1",1000,"LN",5397,25,"KIA-27198","HENE1","S2220","charcoal","NULL",49.16,9.2,TRUE
"2",1006,"EN",6850,65,"Ly-7607","PORH","S3350","NULL","NULL",43.31,3.35,TRUE
"3",1008,"EN",6745,70,"Ly-245 (OxA)","PORH","S3350","NULL","NULL",43.31,3.35,TRUE
"5",1013,"EN",6515,65,"OxA-6704","NULL","S1953","human bone","Homo sapiens",47.34,-2.87,TRUE
"10",1020,"EN",6200,190,"Ly-1735","MV","S2973","bone","NULL",49.41,4.014,TRUE
"11",1022,"EN",6110,140,"Ly-2324","MV","S2973","bone","NULL",49.41,4.014,TRUE
"13",1025,"EN",6030,130,"Ly-2327","BBM1","S1285","bone","NULL",49.41,3.91,TRUE
"16",1029,"EN",5940,140,"Ly-865","REI1","S3450","tar","NULL",48.65,7.75,TRUE
"17",1031,"EN",5860,190,"Ly-2323","MV","S2973","bone","NULL",49.41,4.014,TRUE
"20",1036,"MN",5530,150,"Ly-2455","COUR","S1216","NULL","NULL",48.53,3.54,TRUE
"21",1037,"MN",5490,140,"Ly-335","GT2","S2567","charcoal","NULL",47.4333,6.45,TRUE
"22",1039,"EN",5320,120,"GIF-5165","MNTD1","S3023","NULL","NULL",47.65,6.83,TRUE
"23",1041,"MN",5260,55,"Ly-8252","VTOL","S4154","NULL","NULL",43.53,1.34,TRUE
"24",1042,"MN",5175,135,"GIF-2342","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"25",1043,"EMN",5140,140,"GIF-2634","ORLA1","S3162","charcoal","NULL",47.46,7.24,TRUE
"27",1045,"MN",5060,45,"Ly-8253","VTOL","S4154","NULL","NULL",43.53,1.34,TRUE
"29",1047,"MN",4880,135,"GIF-2341","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"31",1049,"MN",4700,135,"GIF-2343","VITTX1","S4162","charcoal","NULL",47.38,4.52,TRUE
"33",1051,"LN",4500,60,"GrN-4675","VID2","S4143","charcoal","NULL",48.47,2.43,TRUE
"34",1052,"LN",4500,50,"GrN-4676","VID2","S4143","charcoal","NULL",48.47,2.43,TRUE
"35",1053,"LN",4360,130,"Ly-794","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"36",1054,"LN",4230,130,"Ly-907","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"37",1055,"LN",4190,150,"Ly-792","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"40",1058,"LN",4150,180,"Ly-20","SAML","S3626","wood","NULL",45.54,5.8,TRUE
"41",1059,"LN",4100,120,"Ly-906","CHRV2","S1529","charcoal","NULL",45.43,5.52,TRUE
"42",1060,"LN",4070,140,"Ly-851","CLAX1","S1557","wood","NULL",46.5708,5.7505,TRUE
"43",1061,"LN",4060,120,"Ly-190","AIXLB1","S1045","wood","NULL",45.72,5.88,TRUE
"45",1063,"LN",3880,110,"GIF-2299","CLAX2","S1557","NULL","NULL",46.5708,5.7505,TRUE
"46",1064,"LN",3750,150,"GSY-114","MSO1","S2976","charcoal","NULL",48.93,4.03,TRUE
"47",1065,"LN",3750,120,"GIF-1528","OUXSS1","S3232","bone","NULL",46.7,4.93,TRUE
"52",1075,"EN",6580,20,"Hd-14219","SFX","S3698","human bone","Homo sapiens",49.92,10.13,TRUE
"53",1076,"EN",6558,75,"Bln-1429","ES","S1798","charcoal","NULL",52.14,11.22,TRUE
"54",1077,"EN",6550,270,"KN-2127","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"56",1079,"EN",6530,180,"H-1534/1027","GN","S2052","charcoal","NULL",51.53,9.92,TRUE
"57",1080,"EN",6510,120,"KN-3046","SFX","S3698","charcoal","NULL",49.92,10.13,TRUE
"58",1081,"EN",6460,80,"UtC-2344","EG","S1835","food residue","NULL",48.82,10.57,TRUE
"59",1082,"EN",6422,100,"H-919/889","DUDE1","S1754","charcoal","NULL",51.51,10.25,TRUE
"60",1083,"EN",6412,80,"H-924b/1121","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"61",1084,"EN",6390,160,"KN-2295","GERL1","S2003","charcoal","NULL",48.8,9.06,TRUE
"62",1085,"EN",6380,80,"OxA-1539","SFX","S3698","plant macrofossils","Triticum sp.",49.92,10.13,TRUE
"63",1086,"EN",6350,80,"UtC-2340","SFX","S3698","food residue","NULL",49.92,10.13,TRUE
"64",1087,"EN",6350,70,"Hv-586","RF","S3534","charcoal","NULL",51.5056,9.90371,TRUE
"65",1088,"EN",6340,70,"UtC-1833","ET2","S1803","organic temper","NULL",52.14,10.82,TRUE
"66",1089,"EN",6332,75,"H-2117/1536","RODN2","S3524","charcoal","NULL",50.96,6.55,TRUE
"67",1090,"EN",6320,90,"UtC-2325","EG","S1835","food residue","NULL",48.82,10.57,TRUE
"68",1091,"EN",6320,70,"KN-1369","KOLN1","S2421","charcoal","NULL",50.97,6.85,TRUE
"69",1093,"EN",6280,185,"KN-2285","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"70",1094,"EN",6250,70,"KN-2128","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"71",1095,"EN",6250,65,"GrN-7011","ZILG1","S4281","charcoal","NULL",50.16,10.96,TRUE
"72",1096,"EN",6232,90,"H-924a/1393","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"73",1097,"EN",6230,90,"ETH-9548","ROTG1","S3546","bone","NULL",48.48,8.95,TRUE
"74",1098,"EN",6230,70,"UtC-7179","FRIM1","S1964","organic temper","Bromus sp.",51.0561,6.57635,TRUE
"75",1099,"EN",6225,45,"GrN-7010","ZILG1","S4281","charcoal","NULL",50.16,10.96,TRUE
"76",1100,"EN",6220,45,"Hd-7978","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"77",1101,"EN",6210,60,"KN-2124","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"78",1102,"EN",6210,50,"KN-I.6","MUE","S3064","charcoal","NULL",50.75,6.66,TRUE
"79",1103,"EN",6210,45,"Hd-7979","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"80",1106,"EN",6190,100,"KN-2284","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"81",1107,"EN",6190,90,"KN-2371","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"82",1108,"EN",6190,90,"OxA-1627","ES","S1798","bone","NULL",52.14,11.22,TRUE
"83",1109,"EN",6190,80,"OxA-1538","WA","S4191","plant macrofossils","Cereals",48.49,11.93,TRUE
"84",1110,"EN",6190,65,"KN-1530","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"85",1111,"EN",6190,60,"UtC-7222","FRIM1","S1964","organic temper","NULL",51.0561,6.57635,TRUE
"86",1112,"EN",6190,45,"Hd-7995","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"87",1113,"EN",6180,120,"KN-2286","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"88",1114,"EN",6180,70,"UtC-7180","FRIM1","S1964","organic temper","NULL",51.0561,6.57635,TRUE
"89",1115,"EN",6180,50,"KN-1594","NM","S3119","charcoal","NULL",50.884,6.266,TRUE
"90",1116,"EN",6170,90,"OxA-1537","WA","S4191","plant macrofossils","Cereals",48.49,11.93,TRUE
"91",1117,"EN",6155,45,"GrN-7156","HM1","S2230","NULL","NULL",48.86,11.76,TRUE
"92",1118,"EN",6140,100,"Hd-7950","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"93",1119,"EN",6140,90,"OxA-1624","ES","S1798","bone","NULL",52.14,11.22,TRUE
"94",1120,"EN",6135,90,"Hd-7980","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"95",1121,"EN",6130,45,"Hd-7977","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"96",1122,"EN",6125,35,"GrN-5870","HM1","S2230","charred plant macrofossils","NULL",48.86,11.76,TRUE
"97",1123,"EN",6100,70,"Hd-8031","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"98",1124,"EN",6100,60,"Hd-7993","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"99",1125,"EN",6090,50,"Hd-7918","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"100",1126,"EN",6070,100,"OxA-1626","ES","S1798","bone","NULL",52.14,11.22,TRUE
"101",1127,"EN",6070,95,"KN-1531","NM3","S3120","charcoal","NULL",50.88,6.27,TRUE
"102",1128,"EN",6070,40,"Hd-8152","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"103",1129,"EN",6060,70,"ETH-9549","ROTG1","S3546","bone","NULL",48.48,8.95,TRUE
"104",1130,"EN",6050,60,"Hd-7994","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"105",1131,"EN",6040,60,"Bln-2522","ES","S1798","charcoal","NULL",52.14,11.22,TRUE
"106",1132,"EN",6040,60,"Hd-8087","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"107",1133,"EN",6040,50,"Hd-7920","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"108",1134,"EN",6030,110,"Gro-265","WITTL1","S4239","charcoal","NULL",48.61,10.41,TRUE
"109",1135,"EN",6030,100,"OxA-1625","ES","S1798","bone","NULL",52.14,11.22,TRUE
"110",1136,"EN",6030,70,"UtC-1831","ET2","S1803","organic temper","NULL",52.14,10.82,TRUE
"111",1137,"EN",6010,50,"Hd-7963","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"112",1138,"EN",6000,55,"Hd-8096","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"113",1139,"EN",5990,60,"Hd-8097","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"114",1140,"EN",5990,40,"Hd-7949","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"115",1141,"EN",5970,70,"Hd-8099","SUT","S4146","human bone","Homo sapiens",48.84,9.22,TRUE
"116",1142,"MN",5969,59,"Erl-4092","ELB1","S1816","bone","NULL",52.23,11.62,TRUE
"117",1143,"EN",5962,230,"H-1748/1207","BOC1","S1322","charcoal","NULL",51.47,7.24,TRUE
