Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
36.4,38.2,Jerf el Ahmar,Near East,Syria,PPNA,Ly-10651,9965,55,.,intcal13
40.7,26.1167,Hoca Cesme,Europe,Turkey,Pottery Neolithic,Bln-4609,7637,43,.,intcal13
37.4,30.5,Bademagaci,Anatolia,Turkey,Pottery Neolithic,Hd-20910,7546,41,.,intcal13
36.3605,43.1191,Sotto,Near East,Iraq,Pottery Neolithic,IGAN-769,7470,60,.,intcal13
36.75,53.75,Belt Cave,Near East,Iran,Pottery Neolithic,P-19a,7395,195,.,intcal13
35.2943,44.726,Sang-i-Chakhmak Oues,Near East,Iran,Pottery Neolithic,,7270,125,.,intcal13
36.7229,56.8184,Yarim Tepe I,Near East,Iraq,Pottery Neolithic,LE-1086,7150,90,.,intcal13
41,24.25,Dikili Tash,Europe,Greece,Early Neolithic,Gif-2628,7020,170,.,intcal13
40.6667,16.6,Trasano 1,Europe,Italy,Cardial,TAN-88248,6980,130,.,intcal13
40.25,15.1833,Torre Sabea,Europe,Italy,Cardial,,6960,130,.,intcal13
41.5,15.3333,Ripa Tetta,Europe,Italy,Early Neolithic,CAMS-2681,6890,60,.,intcal13
42.1167,12.2333,La Marmotta,Europe,Italy,Cardial,R-2360,6855,65,.,intcal13
41.45,15.5333,Villa Communale,Europe,Italy,Early/Middle Neolithic,MC-2290,6850,130,.,intcal13
38.9,16.5833,Acconia,Europe,Italy,Early Neolithic,P-2949,6710,80,.,intcal13
43.8667,12.6333,Pian di Cereto,Europe,Italy,Early Neolithic,R-548,6680,80,.,intcal13
44.4167,11.9,Lugo di Romagna,Europe,Italy,Early Neolithic,R-2747,6626,110,.,intcal13
41.958,13.5355,Grotta Continenza,Europe,Italy,Cardial,R-1411,6590,75,.,intcal13
41.95,13.6333,S. Stefano di Ortucchi,Europe,Italy,Cardial,R-468,6575,80,.,intcal13
45.8831,12.7131,Valer,Europe,Italy,Early Neolithic,Bln-4436,6557,71,.,intcal13
44.5371,10.8167,Fiorano Modenese,Europe,Italy,Early Neolithic,GrN-19839,6540,60,.,intcal13
45.5198,11.0172,Lugo di Grezzana,Europe,Italy,Early Neolithic,R-2745,6524,76,.,intcal13
41.0186,15.0211,Fontanarosa Uliveto,Europe,Italy,Cardial,BM-2415,6490,150,.,intcal13
37.3333,23.5,Ayios Petros,Europe,Greece,Neolithic,BM-2020,6400,80,.,intcal13
45.73,12.5838,Fonte Chiarano,Europe,Italy,Early Neolithic,AECV-1996C,6380,180,.,intcal13
45.8,8.8333,Pizzo di Bodio,Europe,Italy,Early Neolithic,B-5090,6320,80,.,intcal13
40.7855,15.43,"Castelgrande, Bellinzo",Europe,Italy,Early Neolithic,B-4564,6270,40,.,intcal13
44.1333,10.4167,Muraccio,Europe,Italy,Early Neolithic,R-427,6210,80,.,intcal13
37,25.05,Saliagos,Europe,Greece,Neolithic,P-1311,6172,74,.,intcal13
46.6333,6.4167,"Mont-La-Ville, Mollend",Europe,Italy,Early Neolithic,CRG-580,5980,175,.,intcal13
39.9302,16.035,"Mesocco, Tec Nev",Europe,Italy,Early Neolithic,-,5950,110,.,intcal13
44.4833,11.0333,Savignano sul Panaro,Europe,Italy,Early Neolithic,Bln-2976,5930,130,.,intcal13
38.1513,14.926,Colle del Fico,Europe,Italy,Early/Middle Neolithic,OxA-654,5840,70,.,intcal13
51.58,-0.55,Misbourne Viaduct,Europe,Great Britain,Early Neolithic,OxA-601,6190,90,animal bone,intcal13
